<SJF-P> 12: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.280999999993355, Mean: 0.167729499996034, 99th Perc: 0.256999999993923, MeanIC: 0.292844444444445, FlowsMissed: 0
<TCP> 13: Completed Requests: 1504, Min: 1.11599999997361, Max: 8.38199999980179, Mean: 4.75174135627062, 99th Perc: 8.27799999980425, MeanIC: 0.00186170212765959, FlowsMissed: 0
<EDF-NP> 13: Completed Requests: 1509, Min: 1.07699999997453, Max: 8.35399999980245, Mean: 4.68540954263274, 99th Perc: 8.20799999980591, MeanIC: 0.0207981739194464, FlowsMissed: 0
<EDF-P> 13: Completed Requests: 2000, Min: 0.302999999992835, Max: 2.32699999994497, Mean: 1.33540849996842, 99th Perc: 2.28099999994606, MeanIC: 0.0129950000000001, FlowsMissed: 887153
<Vriksha> 13: Completed Requests: 1501, Min: 1.16399999997248, Max: 8.372999999802, Mean: 4.7724090605134, 99th Perc: 8.29899999980375, MeanIC: 0.479680953438449, FlowsMissed: 0
<SJF-P> 13: Completed Requests: 2000, Min: 0.0859999999979664, Max: 0.280999999993355, Mean: 0.168245499996022, 99th Perc: 0.248999999994112, MeanIC: 0.259448888888889, FlowsMissed: 0
<TCP> 14: Completed Requests: 1383, Min: 1.37499999996749, Max: 9.83499999976743, Mean: 5.6230961676183, 99th Perc: 9.73299999976985, MeanIC: 0.00173857154334377, FlowsMissed: 0
<EDF-NP> 14: Completed Requests: 1393, Min: 1.24999999997044, Max: 9.70500000197717, Mean: 5.48857214754791, 99th Perc: 9.5800000019517, MeanIC: 0.0132647363803144, FlowsMissed: 0
<EDF-P> 14: Completed Requests: 1920, Min: 0.443000000090251, Max: 3.40400000069349, Mean: 1.90330052122109, 99th Perc: 3.30300000067291, MeanIC: 0.00971296296296315, FlowsMissed: 887542
<Vriksha> 14: Completed Requests: 1392, Min: 1.394000000284, Max: 9.68300000197269, Mean: 5.556529455155, 99th Perc: 9.61400000195863, MeanIC: 0.323398786717752, FlowsMissed: 0
<SJF-P> 14: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.276000000056229, Mean: 0.16389550003339, 99th Perc: 0.240000000048894, MeanIC: 0.213632222222223, FlowsMissed: 0
